Seguidores_autor,Tweets_autor,Texto,Fecha,Retweets,Respuestas,Likes,Cant_citas,Fuente,Hora,Mes,Long_Texto
7820,94698,Vacunación COVID CABA: cuáles serán los plazos en los que aplicarán las segundas dosis | vía,2021-06-29,0,0,1,0,Twitter for Android, 17hs,Junio,92
1208,88608,"[PREJUICIOS] Aunque no se pueda creer, todavía hay gente que no quiere aplicarse la vacuna anti Covid_19 por prejuicios. Entre las ""variadas"" excusas que ponen, algunos dicen que es ""una maniobra política"" 😳 Creer o reventar!",2021-06-29,0,0,0,0,Twitter for Android, 17hs,Junio,225
773,25151,Qué felicidad me da saber que pronto voy a recibir la vacuna para el covid. 🤩🥳,2021-06-29,0,0,4,0,Twitter for iPhone, 16hs,Junio,78
14518,7813,"Nos mueve la emoción y la alegría de nuestra comunidad al recibir su vacuna contra el Covid-19. 💉En Morón, más de la mitad de las y los vecinos ya cuenta con, al menos, su primera dosis.👏🏽Sigamos poniendo el hombro. 💪🏽🇦🇷¡Cada vez más cerca de disfrutar lo que más queremos!",2021-06-29,7,0,27,0,Twitter for Android, 15hs,Junio,273
84,1950,"Que felicidad 😍Vacuna contra el Covid disponible para nosotros, los de 25 a 30 años. A partir de la medianoche 💪💪",2021-06-29,0,0,3,0,Twitter for Android, 15hs,Junio,113
1695,33569,Hoy mi viejito recibió la 1 dosis de la vacuna contra el covid♥️.,2021-06-29,0,0,6,0,Twitter for Android, 15hs,Junio,65
160,416,Con 42 años me empadroné y hoy me tocó vacunarme con la primera dosis de la vacuna contra el COVID-19 en el clubitaliano en Caballito. en Club Italiano,2021-06-29,0,1,3,0,Instagram, 14hs,Junio,151
160,2769,"NOS TOCA! 🤩😍 Se encuentran abiertas las inscripciones para recibir la vacuna contra el covid-19. 🙌🏻 Ingresá a la página del Ministerio de Salud de nuestra Provincia y apreta donde dice ""Registro de voluntad vacuna covid-19 "" e inscribite. 👉🏼",2021-06-29,0,0,0,0,Twitter for Android, 13hs,Junio,241
1012,120331,"La vacuna no te inmunizaba contra el Covid, solamente te aliviana los síntomas. Saludos.",2021-06-29,0,0,6,0,Twitter for iPhone, 12hs,Junio,88
32,477,Mariano Cardarelli tuve covid y gracias a una dosis de sinopham la pase no tan mal.. aguante la vacuna China!!! Jaja,2021-06-29,0,0,0,0,Twitter for Android, 11hs,Junio,116
2780,14296,"25085324  _me   Ay que alegría que apsreciste sanguijuela imbécil. Crees que estás hablando con una burra como vos?? NO, LPQTP!Sinopharm ponésela a tu hija/o para que el Covid se muera risa. KK no te atrevas con mis muertos vacunados con Sinopharm y/o con 1 dosis de Sputnik.ASESIN KRÁPULAS!",2021-06-29,0,1,0,0,Twitter for Android, 02hs,Junio,291
425,3113,"Si Pau, acá haciéndole ole al covid hasta que me llegue la vacuna. Pero todo muy bien. Vos?",2021-06-28,0,1,1,0,Twitter for iPhone, 23hs,Junio,91
13926,38200,"No es extraño que estemos rondando los 100 mil muertos y que nadie del gobierno haya sido víctima del COVID, esto prueba que la vacuna es eficiente porque ellos se vacunaron todos con las dos dosis (creo que con la Pfizer no?) perdon si me equivoco",2021-06-28,2,2,5,0,Twitter for iPhone, 22hs,Junio,248
491667,68277,"Hoy me tocó recibir la primera dosis de la vacuna contra el covid por ser +40. Elegí hacerlo, esta tarde, en Boca. A todo el personal que trabaja allí, mil gracias por la atención.",2021-06-28,10,17,505,1,Twitter for iPhone, 22hs,Junio,180
8814,54375,⚠️ IMPORTANTECIUDADPlan de Vacunación COVID-19 para personas mayores de 40 años👉  Formulario de empadronamiento para la aplicación de la primera dosis de la vacuna contra el COVID-19 de personas de más de 40 años👉,2021-06-28,0,0,0,0,Twitter for Android, 18hs,Junio,213
753,13947,"Hoy me llegó la vacuna contra el COVID-19 💉. Agradezco a todo el personal de salud de Laboulaye por la excelente atención 💪🏻👩🏼‍⚕️👨🏻‍⚕️🏥. Vacunado Covid19 Laboulaye  Laboulaye, Cordoba",2021-06-28,0,0,1,0,Instagram, 18hs,Junio,183
8814,54375,🇦🇷 MINISTERIO DE SALUDLlegan hoy y mañana más de un millón de vacunas a todo el país y el total de dosis distribuidas se acerca a los 25 millones se interiorizó sobre los avances de una vacuna nacional contra la COVID-19,2021-06-28,1,0,1,0,Twitter for Android, 18hs,Junio,220
21,210,"2 buenas tardes, me podría explicar, porqué a mi madre de 90 años vacunada en Luján de Cuyo el 9 de Marzo, contra el Covid, con la vacuna rusa, todavía no tiene su segunda dosis?Y sé de personas que se vacunaron en días posteriores ya las vacunaron?Hilo",2021-06-28,0,0,0,0,Twitter for Android, 17hs,Junio,253
1799,38377,"Bueno, finalmente me anoté para la vacuna contra el COVID en CABA porque estoy amamantando. ¿Subiré una foto recibiendo la vacuna? ¡Obvio!",2021-06-28,0,0,6,0,Twitter for Android, 16hs,Junio,138
1474,68790,Ahora más que nunca quiero que me llegue la vacuna del covid,2021-06-28,0,0,0,0,Twitter for Android, 16hs,Junio,60
187,11125,"Yo no sé ustedes pero yo tengo una amiga que conozco desde los 2 años o menos y hacemos literalmente todo juntas, jardín, primaria, secundaria siempre yendo al mismo aula, comunión, irnos a capital, VACUNA DEL COVID porque nos dieron turno juntas, soy fan de esta amistad",2021-06-28,1,1,6,0,Twitter for Android, 14hs,Junio,271
42,647,"Listo !!! Primera dosis, un paso menos !!🏳️‍🌈🇦🇷✌primeradosis vacuna covid_19 en Villa Tesei Partido de Hurlinghan",2021-06-28,0,0,0,0,Instagram, 12hs,Junio,113
1022,37386,"Cristina no apareció en el desalmado acto por los muertos de  Covid. Sí, la que hizo el negociado con Putin para comprar una vacuna sospechosa de la cual no hay segundas dosis disponibles. Estuvo Kicillof, que carga con la mitad de los muertos en la provincia más rica del pais.",2021-06-28,9,2,16,0,Twitter for Android, 01hs,Junio,278
116,8751,Esto es igual que twittear la foto de carnet de la aplicación de la vacuna Covid,2021-06-28,0,0,0,0,Twitter for Android, 00hs,Junio,80
46759,14248,¡Más de 500.000 personas vacunados contra el COVID-19 en Salta! ♥️👏🏻Cada vacuna aplicada nos llena de esperanza y nos acerca un poco más hacia la normalidad que tanto queremos.,2021-06-28,73,13,161,10,Twitter for iPhone, 00hs,Junio,176
2603,14409,Saben qué vacuna COVID-19 están dando en La Usina del Arte?,2021-06-27,0,1,1,0,Twitter for iPhone, 23hs,Junio,59
757,39566,El viejo se puso la vacuna de covid y brinde por él (?),2021-06-27,0,0,2,0,Twitter for Android, 23hs,Junio,55
1201,59421,"Ella es Mariela, tenía  47 años un hijo de 15, esposo, madre, hermanos, sobrinos y mucha gente que la quería. Para los Fernandez, Vissotti y todo el gobierno es solo un número más de los casi 93 mil muertos por Covid_19, no tuvo su vacuna a pesar de ser paciente de riesgo.",2021-06-27,0,1,0,0,Twitter for Android, 22hs,Junio,273
3009,4638,"Sus lágrimas eran las de un cocodrilo! No haga campaña política con los muertos por covid  , tendría que haber evitado llegar a esa cifra, no tiene cara ud! Después de los vacunados vip, de la vacuna pfizer, de la sputnikv (2da dosis), y de la cantidad de fallecidos!",2021-06-27,0,0,0,0,Twitter for Android, 18hs,Junio,267
115,6042,"que circo armaron en el cck IPOCRITAS, poniendo cara de compunjido, homenajeando a los muertos por COVID vergüenza tendría que darles, caras de VIGORNIA!, con VACUNA se cuida al pueblo y con 2 dosis no con el verso de 1 dosis pedazo de mierdas!!.. cadenanacional",2021-06-27,0,2,0,0,Twitter for Android, 16hs,Junio,262
757,39566,"Mí viejo se puso hoy la vacuna de covid, y hacen asado que corajudo si no puede escabiar.",2021-06-27,0,0,0,0,Twitter for Android, 16hs,Junio,89
8585,141701,"Hoy 4.30 hs en él frío despertar él no pudo y partio, Jose Luis mi amigo, él covid pudo más que la vacuna y sin segunda dosis peor.Lo siento amigo mio 🙏💔",2021-06-27,181,182,722,16,Twitter for Android, 16hs,Junio,153
362,7353,"Estoy falleciendo a causa de la vacuna, si esto se siente tener covid entonces no lo quiero",2021-06-27,0,0,1,0,Twitter for Android, 10hs,Junio,91
1824,17404,"Recién ayer me vacunéUn minuto antes pregunté que vacuna me ponían ?  - CovishieldY en una traducción al inglés perfecta de nosotros los de los '80,Dije "" Escudo al Covid "" genial! No fue Google eh, fue Camouflage con Love is a Shield.",2021-06-27,0,2,2,0,Twitter for Android, 09hs,Junio,235
119,8644,"El post vacuna covid me estaría dando una hermosa cagada a palos, súmale las casi 37 semanas de embarazo a todo eso. Un combo divino. 🤦‍♀️",2021-06-27,0,0,0,0,Twitter for Android, 08hs,Junio,138
506,12550,"El Ministro de Economía Martín Guzmán y su Bailarina, Vera Voskanyan, de 32 años, recibieron la 2da Dosis de la Vacuna contra el Covid-19, el 30 de Marzo.92.317 M U E R T O SSeRobaronLasVacunas 27JRepudioTotal",2021-06-27,2,0,3,0,Twitter for Android, 06hs,Junio,209
428,71396,El dolor de hombro q tengo con la vacuna contra el covid me hace acordar a cuando me pusieron la bcg,2021-06-27,0,0,0,0,Twitter for iPhone, 00hs,Junio,100
68,4777,Por favor ! Mi madre hace ya mas de 3 meses de la primer dosis de la vacuna contra el covid- tiene 86 años y aun sin turno,2021-06-26,0,1,1,0,Twitter for iPhone, 23hs,Junio,122
44,332,"""La decisión es la virtud más responsable sobre uno mismo.""~Vacuna contra el covid_19 sarscov2sinopharm💉~vacunados Hoy 1079 centenariohospitalnatalioburd~Aclaro- vi luz y pasé...",2021-06-26,0,0,0,0,Instagram, 22hs,Junio,178
657,1253,Acompañamos la jornada con una Posta de asesoramiento e inscripción para recibir la vacuna contra el Covid y una Posta de Pami respondiendo consultas de afiliados y afiliadas del organismo.EstadoPresente,2021-06-26,0,0,6,0,Twitter for Android, 21hs,Junio,203
589,10165,Hoy me mandaron mensaje para el ensayo de una vacuna que me había anotado como voluntaria. No tenía que tener vacuna dada ni Covid. Cómo ya tengo una sputnik no pudo ser.,2021-06-26,0,2,0,0,Twitter for Android, 20hs,Junio,170
819,8001,Con mucha alegría recibí hoy la primera dosis de la vacuna Sinopharm contra el Covid 19 💉GRACIAS a los Voluntarios y al Personal de Salud por el gran trabajo y enorne esfuezo que vienen realizando 👏👏Felicitaciones por la excelente organización! Vacunado 💪,2021-06-26,0,1,7,0,Twitter for Android, 19hs,Junio,255
826,1423,"Algún médico en la sala, que me pueda pasar un paper avalado por la comunidad científica internacional de efectividad de vacuna contra covid",2021-06-26,0,0,3,0,Twitter for Android, 14hs,Junio,140
869,13931,Dejá de mentir!,2021-06-26,0,0,0,0,Twitter for Android, 14hs,Junio,15
813,20253,"Debería haber un premio para los que llegamos a la vacuna libres de covid, cero hisopado y encima, sin síntomas post vacuna.Me siento Highlander",2021-06-26,0,0,2,0,Twitter for Android, 14hs,Junio,144
14,1016,Felicitaciones Compañera me llena el corazón de alegría ver que ya recibiste la Vacuna contra el Covid-19 abrazos enormes desde 9 de Abril Esteban Echeverría,2021-06-26,0,0,0,0,Twitter for Android, 10hs,Junio,157
